723.61,Shopping,2025-12-10
2033.22,Food,2025-08-16
3077.0,Transport,2025-04-24
3433.02,Health,2025-02-06
1496.34,Food,2024-07-11
1671.54,Transport,2025-04-22
3380.09,Health,2025-09-14
4511.32,Shopping,2024-10-16
3606.0,Travel,2025-05-27
845.97,Food,2025-10-12
4352.23,Transport,2024-10-22
3552.53,Entertainment,2025-04-05
2929.28,Transport,2025-04-03
3989.7,Transport,2024-10-02
4253.66,Education,2025-04-23
495.4,Entertainment,2024-08-12
2365.18,Rent,2024-11-06
2074.02,Groceries,2024-09-09
3982.44,Bills,2025-12-06
1008.48,Rent,2024-11-07
75.11,Bills,2025-01-29
571.57,Food,2024-11-19
2790.14,Groceries,2025-10-06
2660.41,Health,2025-05-02
1850.55,Food,2024-11-26
4434.2,Groceries,2025-11-15
534.74,Rent,2025-10-11
2082.18,Bills,2024-08-04
4517.28,Bills,2024-09-12
1726.07,Food,2025-01-03
2409.01,Bills,2024-01-20
3717.22,Rent,2024-04-18
4810.92,Travel,2024-03-03
2140.89,Groceries,2025-05-14
4125.87,Rent,2025-05-21
2258.86,Groceries,2024-05-29
1563.89,Rent,2024-01-23
506.27,Food,2024-02-06
672.06,Health,2025-12-25
1012.98,Transport,2024-04-16
1801.94,Food,2024-11-08
3028.03,Rent,2024-08-22
3406.16,Bills,2025-06-08
4405.04,Groceries,2025-10-13
1820.11,Rent,2025-09-28
1365.77,Rent,2024-09-15
681.42,Transport,2024-04-22
1888.97,Health,2025-12-25
3678.9,Groceries,2025-03-11
528.88,Shopping,2025-10-26
1796.13,Education,2024-04-03
3946.73,Education,2024-03-29
308.78,Education,2025-01-01
3409.45,Education,2025-03-21
1144.36,Bills,2024-08-07
4966.98,Travel,2025-04-06
4788.62,Transport,2024-11-21
4849.23,Bills,2024-09-29
578.53,Rent,2024-03-19
3032.65,Travel,2024-11-28
4082.51,Shopping,2025-11-29
3393.45,Travel,2025-02-24
4826.92,Food,2024-05-24
456.75,Education,2025-07-26
3981.42,Transport,2025-08-08
1352.88,Bills,2025-11-29
2345.1,Rent,2024-03-22
3786.68,Entertainment,2024-11-02
2189.43,Rent,2024-08-19
2014.19,Entertainment,2025-12-16
2747.79,Shopping,2025-04-25
2785.89,Education,2025-11-08
2372.68,Education,2024-11-16
2262.02,Education,2024-03-23
3210.22,Travel,2025-04-09
2425.75,Transport,2025-09-30
3051.26,Bills,2024-10-30
1317.75,Rent,2024-05-29
3966.06,Health,2024-12-15
1409.46,Food,2025-05-21
777.49,Education,2024-06-08
4135.28,Groceries,2024-02-08
3310.53,Education,2025-08-12
2154.47,Groceries,2025-01-08
3526.64,Groceries,2024-08-27
2811.55,Transport,2024-05-14
4150.1,Education,2025-08-23
4478.14,Travel,2025-05-14
4064.51,Bills,2024-08-26
1843.59,Rent,2024-06-07
1810.66,Shopping,2025-11-06
3313.69,Groceries,2025-01-31
1908.91,Health,2025-11-10
2911.55,Transport,2025-07-02
4269.98,Health,2025-11-22
3149.93,Transport,2025-01-02
1032.83,Groceries,2024-03-25
1322.47,Travel,2024-12-12
4148.0,Groceries,2025-11-15
3776.13,Entertainment,2025-07-18
3057.52,Health,2025-10-20
410.12,Groceries,2024-04-28
193.08,Shopping,2025-04-18
4361.53,Rent,2024-03-08
1593.08,Travel,2024-06-03
471.94,Education,2024-08-02
3673.26,Transport,2024-09-27
2316.85,Bills,2024-04-17
1935.69,Education,2024-08-15
2465.44,Entertainment,2024-05-02
2845.47,Education,2024-02-01
4701.73,Shopping,2025-10-03
2012.42,Bills,2025-01-25
575.53,Shopping,2024-02-11
4075.56,Transport,2024-09-20
4123.02,Education,2025-10-09
2290.28,Transport,2025-03-04
4333.49,Rent,2025-02-03
4341.4,Travel,2024-02-22
4525.74,Bills,2024-09-16
1231.8,Entertainment,2024-04-04
2965.95,Entertainment,2025-01-16
2330.87,Education,2024-07-24
2882.98,Transport,2025-08-08
4369.62,Education,2025-08-03
4742.15,Bills,2024-03-23
3419.55,Education,2025-09-02
840.52,Health,2024-10-05
1277.82,Entertainment,2025-11-11
282.33,Travel,2025-11-07
3658.75,Health,2025-05-06
2308.62,Shopping,2024-04-10
1844.07,Travel,2024-11-05
3083.79,Rent,2024-10-08
529.91,Rent,2025-01-13
415.46,Rent,2024-05-07
2516.58,Entertainment,2024-09-20
2267.75,Health,2025-08-31
4896.66,Bills,2025-04-24
1346.42,Shopping,2024-06-28
3855.05,Health,2024-04-23
3427.95,Entertainment,2025-02-20
182.1,Transport,2025-08-08
4664.39,Food,2025-10-24
3131.2,Bills,2024-06-17
4749.9,Bills,2025-05-07
3376.63,Bills,2025-03-09
3697.94,Health,2024-02-24
4434.86,Shopping,2025-02-02
1289.73,Transport,2025-11-10
3116.47,Food,2025-03-24
4260.38,Education,2024-08-31
241.92,Health,2024-05-19
765.09,Health,2025-12-01
4442.0,Groceries,2025-04-24
4571.38,Entertainment,2025-12-09
3136.56,Food,2024-04-22
3714.12,Entertainment,2024-09-05
2591.62,Groceries,2025-05-02
846.38,Travel,2024-06-22
4141.06,Health,2025-12-25
2707.48,Groceries,2024-03-28
4527.43,Education,2024-02-29
3582.44,Bills,2025-12-09
1880.3,Health,2024-04-25
2382.34,Groceries,2024-10-23
2913.8,Entertainment,2024-11-09
4183.41,Bills,2024-08-07
812.73,Travel,2024-03-11
4884.5,Shopping,2025-03-06
44.99,Transport,2024-11-07
2720.09,Entertainment,2024-10-13
4583.37,Rent,2024-07-30
4128.36,Rent,2024-02-03
4971.79,Food,2025-04-07
3929.8,Entertainment,2024-07-01
2513.36,Education,2024-03-07
1291.0,Rent,2024-01-29
2310.14,Travel,2024-07-26
4224.75,Rent,2024-09-10
2079.25,Education,2024-05-19
725.57,Health,2025-02-09
2812.17,Travel,2024-04-24
976.79,Groceries,2024-06-14
349.77,Education,2025-06-22
3395.22,Shopping,2025-03-19
825.17,Bills,2024-11-06
1530.73,Travel,2024-08-28
2934.66,Groceries,2025-03-06
136.5,Groceries,2025-10-09
3347.27,Travel,2024-10-20
3040.08,Rent,2025-02-17
383.79,Travel,2024-03-03
1113.43,Entertainment,2024-01-18
4523.44,Groceries,2025-03-02
450.63,Education,2024-04-18
1177.6,Rent,2024-10-03
358.01,Health,2024-03-20
3937.4,Entertainment,2025-04-23
1061.48,Food,2024-05-18
342.12,Travel,2024-10-31
3405.21,Travel,2024-09-06
2553.72,Entertainment,2024-08-31
4538.46,Education,2025-05-29
4558.3,Rent,2024-08-08
3492.58,Travel,2025-03-26
3867.68,Rent,2024-05-10
1259.29,Education,2025-09-23
3452.91,Bills,2024-10-24
1897.06,Travel,2024-10-22
3456.01,Shopping,2024-08-20
959.9,Entertainment,2024-02-25
2196.38,Shopping,2025-10-23
3481.3,Shopping,2024-01-19
4754.64,Shopping,2024-06-24
261.92,Rent,2024-12-09
4092.16,Health,2025-07-19
1010.58,Shopping,2024-10-12
4325.95,Education,2024-12-09
1803.05,Food,2024-04-07
4870.81,Travel,2024-08-06
3614.63,Entertainment,2024-12-27
3210.01,Food,2025-12-11
2579.57,Bills,2024-06-29
4412.4,Entertainment,2024-11-23
1254.76,Bills,2024-11-28
3737.64,Bills,2025-06-30
1916.81,Shopping,2025-01-26
2683.0,Education,2025-03-21
4624.86,Education,2024-07-09
1253.74,Health,2024-08-18
1262.87,Shopping,2024-12-14
2316.03,Health,2024-03-01
4988.86,Food,2024-02-05
72.54,Bills,2024-02-29
3606.12,Education,2025-04-16
4894.24,Rent,2025-03-02
2460.62,Food,2025-08-14
441.15,Health,2024-01-21
884.29,Rent,2025-03-03
179.24,Transport,2025-03-31
2176.75,Bills,2025-05-22
3241.32,Rent,2025-11-12
1226.48,Travel,2024-02-02
4043.75,Food,2025-09-24
2518.66,Food,2025-05-03
4289.98,Transport,2025-10-05
497.41,Food,2025-07-03
3672.28,Education,2025-08-22
3290.06,Groceries,2025-11-09
3805.6,Food,2025-09-18
2772.95,Rent,2024-11-09
4969.62,Travel,2025-09-26
3610.6,Health,2024-01-12
4967.36,Food,2025-05-07
3727.34,Groceries,2024-01-04
1968.16,Rent,2025-07-16
2148.04,Rent,2024-07-17
4713.08,Health,2024-10-13
3643.46,Shopping,2025-06-06
567.17,Food,2025-10-13
1534.16,Rent,2024-10-13
1510.79,Food,2024-05-22
3513.82,Groceries,2024-03-05
1193.04,Education,2024-03-28
378.97,Travel,2025-09-23
3024.89,Travel,2025-09-17
2598.4,Bills,2024-09-21
4549.35,Bills,2025-03-13
4868.49,Education,2025-09-29
1565.44,Entertainment,2024-11-22
2267.02,Education,2024-04-16
2681.23,Food,2025-04-27
640.19,Rent,2024-09-28
3466.96,Travel,2024-06-14
306.12,Bills,2025-11-23
80.55,Entertainment,2025-04-30
